0,1
v_ApplyEyeMakeup_g07_c01,158
v_ApplyEyeMakeup_g22_c03,146
v_ApplyEyeMakeup_g02_c04,169
v_ApplyEyeMakeup_g20_c03,129
v_ApplyEyeMakeup_g24_c02,105
v_ApplyLipstick_g09_c02,244
v_ApplyLipstick_g11_c03,107
v_ApplyLipstick_g03_c01,180
v_ApplyLipstick_g25_c02,151
v_ApplyLipstick_g01_c05,212
v_BabyCrawling_g08_c03,112
v_BabyCrawling_g24_c03,124
v_BabyCrawling_g02_c06,190
v_BabyCrawling_g22_c03,158
v_BabyCrawling_g13_c03,109
v_BlowDryHair_g07_c07,85
v_BlowDryHair_g23_c07,457
v_BlowDryHair_g03_c01,237
v_BlowDryHair_g21_c06,144
v_BlowDryHair_g11_c07,440
v_BodyWeightSquats_g09_c04,123
v_BodyWeightSquats_g11_c01,81
v_BodyWeightSquats_g03_c02,52
v_BodyWeightSquats_g04_c03,88
v_BodyWeightSquats_g02_c01,102
v_BreastStroke_g10_c02,192
v_BreastStroke_g12_c03,176
v_BreastStroke_g03_c02,179
v_BreastStroke_g04_c04,217
v_BreastStroke_g02_c01,227
v_CleanAndJerk_g09_c01,253
v_CleanAndJerk_g11_c02,302
v_CleanAndJerk_g03_c01,172
v_CleanAndJerk_g04_c01,143
v_CleanAndJerk_g01_c05,121
v_CuttingInKitchen_g09_c01,209
v_CuttingInKitchen_g10_c06,155
v_CuttingInKitchen_g03_c01,266
v_CuttingInKitchen_g04_c03,141
v_CuttingInKitchen_g01_c05,219
v_Diving_g06_c04,216
v_Diving_g21_c03,263
v_Diving_g02_c03,128
v_Diving_g19_c03,171
v_Diving_g22_c06,179
v_Haircut_g08_c05,114
v_Haircut_g24_c04,212
v_Haircut_g03_c02,79
v_Haircut_g22_c07,126
v_Haircut_g13_c01,92
v_HammerThrow_g06_c05,234
v_HammerThrow_g21_c01,187
v_HammerThrow_g02_c04,223
v_HammerThrow_g19_c02,175
v_HammerThrow_g22_c06,134
v_JavelinThrow_g09_c03,109
v_JavelinThrow_g11_c03,120
v_JavelinThrow_g03_c02,151
v_JavelinThrow_g24_c06,68
v_JavelinThrow_g02_c01,71
v_JumpingJack_g08_c01,80
v_JumpingJack_g09_c06,90
v_JumpingJack_g02_c03,101
v_JumpingJack_g23_c04,85
v_JumpingJack_g01_c05,89
v_Kayaking_g08_c02,156
v_Kayaking_g22_c05,209
v_Kayaking_g02_c04,181
v_Kayaking_g21_c01,158
v_Kayaking_g24_c02,199
v_MilitaryParade_g08_c05,78
v_MilitaryParade_g25_c05,124
v_MilitaryParade_g02_c03,112
v_MilitaryParade_g23_c02,125
v_MilitaryParade_g01_c05,149
v_PizzaTossing_g09_c01,117
v_PizzaTossing_g11_c02,135
v_PizzaTossing_g03_c01,102
v_PizzaTossing_g25_c04,103
v_PizzaTossing_g02_c01,118
v_PullUps_g10_c02,173
v_PullUps_g12_c03,69
v_PullUps_g03_c02,208
v_PullUps_g04_c04,138
v_PullUps_g02_c01,122
v_Rafting_g09_c04,109
v_Rafting_g11_c04,256
v_Rafting_g03_c02,118
v_Rafting_g04_c04,222
v_Rafting_g02_c01,240
v_RockClimbingIndoor_g07_c04,398
v_RockClimbingIndoor_g22_c06,413
v_RockClimbingIndoor_g02_c05,310
v_RockClimbingIndoor_g21_c02,325
v_RockClimbingIndoor_g24_c03,397
v_ShavingBeard_g07_c02,231
v_ShavingBeard_g20_c03,280
v_ShavingBeard_g02_c06,203
v_ShavingBeard_g18_c06,301
v_ShavingBeard_g21_c06,209
v_SkyDiving_g09_c03,203
v_SkyDiving_g11_c03,212
v_SkyDiving_g03_c02,202
v_SkyDiving_g04_c03,127
v_SkyDiving_g02_c01,30
v_Surfing_g08_c05,267
v_Surfing_g25_c01,111
v_Surfing_g02_c03,279
v_Surfing_g22_c02,75
v_Surfing_g01_c05,118
v_TableTennisShot_g07_c03,75
v_TableTennisShot_g23_c04,289
v_TableTennisShot_g02_c04,118
v_TableTennisShot_g21_c04,56
v_TableTennisShot_g24_c07,280
v_ThrowDiscus_g07_c07,109
v_ThrowDiscus_g24_c03,86
v_ThrowDiscus_g02_c06,90
v_ThrowDiscus_g22_c01,76
v_ThrowDiscus_g12_c03,146
v_WallPushups_g08_c03,152
v_WallPushups_g24_c02,106
v_WallPushups_g03_c02,116
v_WallPushups_g21_c06,112
v_WallPushups_g13_c02,125
